2026-01-27 15:31:21,079 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:31:21,086 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_tfidf_keywords.csv
2026-01-27 15:31:21,089 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_monthly_trend.csv
2026-01-27 15:31:21,095 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:31:21,096 | INFO | gen20 | sentiment_score mean=0.0162, std=0.1185
2026-01-27 15:31:21,097 | INFO | gen20 | 피어슨 상관계수: r=0.8787, p-value=0.0002
2026-01-27 15:31:21,098 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/trend_correlations.csv
2026-01-27 15:31:21,107 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/dining_benefit_scores.csv
2026-01-27 15:31:21,112 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/weighted_match_scores.csv
2026-01-27 15:31:21,118 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/top_cards.csv
2026-01-27 15:31:21,123 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/scenario_recommendations.csv
2026-01-27 15:31:21,126 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/plcc_proposal.md
2026-01-27 15:31:21,128 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/final_report.md
2026-01-27 15:31:21,131 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/dashboard.html
2026-01-27 15:31:21,132 | INFO | gen20 | 파이프라인 완료. outputs/reports 확인하세요.
2026-01-27 15:36:03,983 | INFO | gen20 | 프로젝트 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation
2026-01-27 15:36:03,983 | INFO | gen20 | 워크스페이스 루트: /Users/t2024-m0246/Documents/GitHub/project_sojeong
