카드이용내역,,,,,,,,,,,,,,
■ 카드이용내역 요약,,,,,,,,,,,,,,
조회기간,사용처구분,정상∙취소 구분,이용구분,건수합계,금액합계(원),,,,,,,,,
2024.12.03~2025.12.02,전체,전체,전체,933건,"16,617,923",,,,,,,,,
■ 국내이용내역 상세,,,,,,,,,,,,,,
이용일자,이용시간,이용카드,이용가맹점,업종,이용금액,이용구분,할부개월,승인번호,취소여부,취소일자,취소금액,포인트사용,온누리상품권사용금액,매입여부
2025.10.18,17:30,본인 우리은행 포인트플러스 GRANDE(9*3*),(유)아웃백스테이크하우스 고척아이파크몰점,패밀리레스토랑,"65,280",일시불,-,37359714,N,,0,0,0,Y
2025.10.18,14:58,본인 우리은행 포인트플러스 GRANDE(9*3*),에이치디씨현대산업개발(주)고척아이파크쇼핑센터,백화점,"12,900",일시불,-,68635713,N,,0,0,0,Y
2025.10.17,20:03,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)우아한형제들_주식회사 우아한형제들,PG(온라인),"24,400",일시불,-,32977712,N,,0,0,0,Y
2025.10.16,21:40,본인 우리은행 포인트플러스 GRANDE(9*3*),다이소 고척동점,가정생활용품,"28,200",일시불,-,38463711,N,,0,0,0,Y
2025.10.16,18:02,본인 우리은행 포인트플러스 GRANDE(9*3*),으뜸50안경 고척점,안경점,"102,000",할부,5 개월,30078710,N,,0,0,0,Y
2025.10.15,23:03,본인 우리은행 포인트플러스 GRANDE(9*3*),GS25 고척사랑점,편의점,700,일시불,-,64383709,N,,0,0,0,Y
2025.10.15,15:52,본인 우리은행 포인트플러스 GRANDE(9*3*),경기마트 맘스점,슈퍼마켓,"2,600",일시불,-,34374708,N,,0,0,0,Y
2025.10.15,9:52,본인 우리은행 포인트플러스 GRANDE(9*3*),스타벅스_충전_에스씨케이컴,상품권(온라인),"10,000",일시불,-,26455707,N,,0,0,0,Y
2025.10.14,20:56,본인 우리은행 포인트플러스 GRANDE(9*3*),주식회사 리베르 구로1지점,기타(용역)서비스,70,일시불,-,35691706,N,,0,0,0,Y
2025.10.14,10:39,본인 우리은행 포인트플러스 GRANDE(9*3*),세외수입_KICC(인터넷)_한국데이터산업,PG(온라인),"50,000",할부,5 개월,67781705,Y,2025.10.29,"-25,000",0,0,Y
